ROI	structure_id	Structure	GN_Symbol	ARA_abbrev	ontology_volume	centroid_PA	ontology_level	ontology_order_GN_Symbol	ontology_most_child	length_of_bar	start_of_bar	L_Vertex	R_Vertex
115	374	SNC__Substantia_nigra_compacta_left	SNC-L	SNc	0.093852	-1.52917685558113	5	MBB-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	68	115	295
112	616	CUN__Cuneiform_nucleus_left	CUN-L	CUN	0.28057725	-3.39693813602136	5	MBM-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	69	112	292
109	795	PAG__Periaqueductal_gray_left	PAG-L	PAG	2.2175505	-2.56815214777521	5	MBM-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	70	109	289
102	294	SCM__Superior_colliculus_motor_related_left	SCM-L	SCm	2.63424825	-2.41608360729669	5	MBM-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	71	102	282
111	128	MRN__Midbrain_reticular_formation_left	MRN-L	MRN	2.57272875	-2.20095909693161	5	MBM-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	72	111	291
108	-769213	OMN__Oculomotor_nucleus_left	OMN-L	IIIR	0.024516	-2.14187568832599	5	MBM-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	73	108	288
110	214	RED__Red_nucleus_left	RED-L	RN	0.356805	-1.89858186719637	5	MBM-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	74	110	290
116	381	SNR__Substantia_nigra_reticulata_left	SNR-L	SNr	0.668361375	-1.61430163154626	5	MBM-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	75	116	296
114	749	VTA__Ventral_tegmental_area_left	VTA-L	VTA	0.215281125	-1.46784148807751	5	MBM-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	76	114	294
107	1100	PRT__Pretectum_left	PRT-L	PRT	1.000542375	-1.29556831176191	5	MBM-B-MID-B-BRS-B-GRY-B-BRN-B	1	1	77	107	287
131	-267101	RVG__Raphe_ventral_group_uncharted_left		RVC	0.44354925	-2.55967463590571	4	RVG-B-BRS-B-GRY-B-BRN-B	1	1	78	131	311
113	100	IPN__Interpeduncular_nucleus_left	IPN-L	IPN	0.176873625	-1.81099433281813	4	RVG-B-BRS-B-GRY-B-BRN-B	1	1	79	113	293
92	331	MBO__Mammillary_body_left	MBO-L	MBO	0.537688125	-1.04621532812353	6	MEZ-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	80	92	272
91	946	PHY__Posterior_hypothalamic_nucleus_left	PHY-L	PH	0.39559725	-0.537996485061509	6	MEZ-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	81	91	271
90	693	VMH__Ventromedial_hypothalamic_nucleus_left	VMH-L	VMH	0.259736625	0.224895138970103	6	MEZ-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	82	90	270
89	88	AHY__Anterior_hypothalamic_nucleus_left	AHY-L	AHN	0.363902625	0.986826882947053	6	MEZ-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	83	89	269
88	515	MPO__Medial_preoptic_nucleus_left	MPO-L	MPN	0.21041775	1.60182345298816	6	MEZ-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	84	88	268
100	797	ZIN__Zona_incerta_left	ZIN-L	ZI	1.005949125	-0.469431773575028	6	LHY-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	85	100	280
99	470	SUT__Subthalamic_nucleus_left	SUT-L	STN	0.092545875	-0.420001094052003	6	LHY-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	86	99	279
97	614	TUB__Tuberal_nucleus_left	TUB-L	TU	0.216388125	0.158828745223428	6	LHY-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	87	97	277
98	194	LHA__Lateral_hypothalamus_left	LHA-L	LHA	1.078646625	0.310800409262859	6	LHY-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	88	98	278
96	226	LPO__Lateral_preoptic_area_left	LPO-L	LPO	0.2720925	1.66552821880427	6	LHY-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	89	96	276
94	223	ARC__Arcuate_nucleus_left	ARC-L	ARH	0.108644625	0.086545773663449	6	PVZ-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	90	94	274
95	38	PVH__Paraventricular_nucleus_of_the_hypothalamus_left	PVH-L	PVH	0.122407875	0.957238550828531	6	PVZ-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	91	95	275
87	-214602	HYP__Hypothalamus_uncharted_left		HY	3.00653775	0.699514972620918	5	HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	92	87	267
93	286	SCH__Suprachiasmatic_nucleus_left	SCH-L	SCH	0.0268785	1.18835070316424	6	PVR-B-HYP-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	93	93	273
58	-759950	THA__Thalamus_uncharted_left		TH	1.604026125	-0.537196291768627	5	THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	94	58	238
79	1072	MGD__Medial_geniculate_nucleus_dorsal_left	MGD-L	MGd	0.08296425	-1.70131803758848	8	MGN-B-DGT-B-TSM-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	95	79	259
80	1079	MGV__Medial_geniculate_nucleus_ventral_left	MGV-L	MGv	0.14614425	-1.59604233060829	8	MGN-B-DGT-B-TSM-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	96	80	260
81	1088	MGM__Medial_geniculate_nucleus_medial_left	MGM-L	MGm	0.13040325	-1.37257570267612	8	MGN-B-DGT-B-TSM-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	97	81	261
82	170	LGD__Dorsal_lateral_geniculate_nucleus_left	LGD-L	LGd	0.343899	-0.738452490774906	7	DGT-B-TSM-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	98	82	262
65	-831925	VPT__Ventral_posterior_thalamic_complex_uncharted_left		VP	0.168233625	-0.546200473448751	8	VPT-B-VGT-B-TSM-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	99	65	245
66	733	VPM__Ventral_posteromedial_thalamic_nucleus_left	VPM-L	VPM	0.847735875	-0.17323235037682	8	VPT-B-VGT-B-TSM-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	100	66	246
67	718	VPL__Ventral_posterolateral_thalamic_nucleus_left	VPL-L	VPL	0.50612175	0.0848320907963362	8	VPT-B-VGT-B-TSM-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	101	67	247
64	685	VMT__Ventral_medial_thalamic_nucleus_left	VMT-L	VM	0.509527125	0.0958819243430877	7	VGT-B-TSM-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	102	64	244
63	629	VAL__Ventral_anterior_and_ventral_lateral_thalamic_nuclei_left	VAL-L	VAL	0.4356855	0.463386267158308	7	VGT-B-TSM-B-THA-B-DIE-B-BRS-B-GRY-B-BRN-B	1	1	103	63	243
